"appId","title","description","genres","contentRating","released","updated","releaseNotes","version","price","developer","score","reviews","currentVersionScore","currentVersionReviews"
"com.royalslots.app","Royal Slots Casino","Welcome to Royal Slots, the online casino with a huge selection of fantastic games.

Royal Slots is fully licensed and regulated by the UK Gambling commission.

Royal Slots offers a massive selection of online casino slots and all your favourite live casino games – Blackjack, Roulette, Dream Catcher & More! We’re constantly adding the latest games & offer all your favourites including Fishin Frenzy, Eye of Horus and Rainbow Riches.

Players can opt in to our exciting welcome bonus, where we will double your first deposit up to £200 followed by 3 further deposit bonuses*

-Deposit bonus 1 100% up to £200*
-Deposit bonus 2 50% up to £200*
-Deposit bonus 3 25% up to £300*
-Deposit bonus 4 25% up to £300*

*New customers only. Opt-in required. 1st deposit bonus 100% up to £200. 2nd deposit bonus 50% up to £200, 3rd deposit bonus 25% up to £300, 4th deposit bonus 25% up to £300. Min deposit £10. 40x wagering, 30 days to complete wagering, game weighting and game restrictions apply. Max Bet with bonus funds £5. Neteller/Skrill deposits excluded, cash balance can be withdrawn at any time. See app for full terms and conditions.

To download and use this online casino app, you must be a UK resident and over 18.

Royal Slots is not a free to play app, you are playing with real money. You should only gamble what you can afford to lose and please gamble responsibly. For gambling addiction help and support, please contact Gamble Aware at 0808 8020 133 or visit www.begambleaware.org.","[""Games"",""Casino""]","17+","2019-10-25T07:00:00Z","2019-11-26T21:35:47Z","Updates for the latest iOS","1.0.30",0,"One Click Limited",3.5,1169,4.5,292
"com.vegascash.slots","Billion Cash Slots-Casino Game","Welcome to enjoy the BEST REAL VEGAS Casino slot machine game RIGHT NOW!!
Billion Cash Casino Slots invites you to experience the MOST POPULAR CASINO SLOTS GAMES all over the world. Download this best social casino slots game and enjoy the thrilling of winnings just in the palm of your hand! Spin the wheel to win BILLION CASH!
Special Feature:
-Grab your 100,000,000 WELCOME BONUS form the FIRST INSTALL REWARD!
That’s far from enough-SPECIAL BONUS OFFERS for your EVERY LEVEL UP! Play our casino slots machines with endless rewards!!!!
-Want more bonus coins? Daily prizes & wheel bonus EVERY 4 Hours created JUST FOR YOU to boost your account!
-Spin 20+ HOT CASINO SLOTS MACHINES around the world, Win the Epic Jackpot Anytime & Anywhere!
-KEEP PLAYING & KEEP WINNING! Mega win, super win, grand jackpot are EASILY to be HITTED! It doesn’t matter how many casino slots machines you have played, it’s just a matter how many jackpots you’ve won! 
-Playing only casino slots is boring? Don’t worry! Different events and challenged quest offers HUGE EXTRA CREDITS EVERYDAY!!!
- Fantastic feature bring huge fortune. The luck is always on your side!
-HIT THE GRAND JACKPOTS EVERYTIME YOU SPINNING!!
Dive into something exciting at CASH STORM! 
Play our social casino slots game NOW and experience the excitement!
We bet you will love it!

Tips：
This product is intended for use by those 21 or older for amusement purposes only. 
Practice or success at social casino gaming does not imply future success at real money gambling. 
The games do not offer ""real money gambling"" or an opportunity to win real money or prizes.

Terms & Services: http://www.triwingames.com/terms_of_service.html
Privacy Policy: http://www.triwingames.com/privacy_policy.html","[""Games"",""Casino"",""Casual""]","17+","2020-01-14T08:00:00Z","2020-03-12T01:00:56Z","What is new？
1.New Machines：EPIC PANDA
2.New Events:St.Patrick's Challenge is coming!
3. Improved game exprience
Update now and spin to win！","1.1.24",0,"Triwin Inc.",4.5,153,5,24
"com.tw.tycoon.casino","Tycoon Casino - Vegas Slots","Tycoon Casino Slots is a new slot game to attract everyone’s attention. Different styles of games, huge prizes, big jackpots, and so on, everything you want in the slots game can be found here. Come and seek your luck here- Play Tycoon Casino Slots and Win huge prizes! 

Start your spins and enjoy the game, Tycoon Casino Slots can make you forget all the bad things and boring days, because we want to provide slots lovers and beginners with best slot machines and massive grand wins.

►Get 100,000,000 free coins instantly as Welcome Bonus.
►Every 12 minutes you will receive a store gift,and every 8 hours you can spin bonus wheel for one time. Keep spinning! 
►Interesting graphic, smooth animations and vivid sound offer you the best casino atmosphere.
►Different feature games, huge prize and bonus, winning symbols like Scatter & expanding WILD.
►Enjoy our gorgeous Slots Games like being in Vegas heart.
►Authentic slot machines designed by casino professionals.
►Hold on to Autospin and listen to the sweet casino melody. Plenty wins will tell you how time flies. 

►Enough free coins to bet large in a spin and win more back.
►Lots of free spins, respin, hold&spin, bonus games.
►Finish daily goals and get big reward!
►Participate in different kinds of activities to win extra prizes in special slot machines.

►Get five scatters in Dragon Spin and win free games.
►Spin and get specific wolves in special reels to multiply your prizes. 
►Come to see the Star Panda and win big prizes.
►Spin to get plenty respin chances in 88 Riches. 
►Make a big fortune in the volcano Riches, wins never ends.

The Tycoon Casino Slots can give you an incredible gambling feeling with its attractive appearance and the sound. Don't miss this opportunity to experience different styles of slots games! Come and download the game right now. Huge prizes and bonus are waiting for you!

This product is intended for use by those 21 or older for amusement purposes only. 
Practice or success at social casino gaming does not imply future success at real money gambling. 
• The games do not offer ""real money gambling"" or an opportunity to win real money or prizes.","[""Games"",""Casino"",""Card""]","17+","2018-10-21T10:44:15Z","2020-03-06T01:57:21Z","Hey Tycoon Lovers! Here's our new updates with:
• New Slot: Amazing Lamp
• New event: Find Star
• Happy St.Patrick's Day!
• Great promotion and deals 
We are always working hard to make Tycoon Casino the best casino slots game out there. Come and seek your luck here!","1.4.4",0,"Triwin Inc.",5,3188,5,68
"com.yaohua.vegasnights","Vegas Nights Slots","Real slots at Vegas Nights - The Best Free online social Casino Slots Game ! 
PLAY NOW to receive a FREE Welcome Bonus Package!

World class gambling game design brings real slot games from the casinos to mobile App! New Features and Surprising Bonuses on All New Slots!

Vegas Nights Slots is the best slots game there is, offers the most stunning graphics and a realistic casino experience. Enjoy every benefit you can possibly have on a real slot machine! Progressive Jackpot, Stacked Symbols and Locked WILDs! PLAY NOW and get the best slot experience today!

What is special at Vegas Nights Slots?
• Tournament Day, Quest Day, and Challenge Day bring you Extra bonus every day of the week!
• All levels All slots 100% FREE to play! New Updates online every week!
• Multiply your winnings to maximize the benefits with Double Ups and Bonus Games!
• 2,000,000 FREE Coins for starter bonus, plus Hourly bonus, Daily Bonus, Store Bonus, Holiday Bonus, Friends Bonus, Fan Page Bonus and many more FREE coins available everyday!
• A variety of WILD, Free Spins, Bonus Games, Jackpots and more interesting ways to play!
Play Vegas Nights Slots, the BEST Online SLOTS Game ever!

Play free slots, slot machine games & online casino. Make a fortune with huge jackpots, free daily games on Vegas Night Slots! Ding Ding Ding! Jackpots!

Vegas Nights Slots is intended for an adult audience for entertainment purposes only. Success at social casino gambling does not reward real money prizes, nor does it guarantee success at real money gambling. Use of this application is governed by Mobee's Terms of Service.","[""Games"",""Casino"",""Card""]","17+","2016-06-03T10:52:15Z","2020-01-10T03:28:44Z","Real Slots at Vegas Nights!

-Fixed Bugs.
-Overall upgraded.
-Improved stability and compatibility.

PLAY NOW!
Gold luck & Happy spinning!

Follow us on Facebook at: 
https://www.facebook.com/vegasnights.slots
If you run into a bug or have a question, you can contact us at support@mobeegaming.com","2.0.8",0,"Mobee Co., Ltd.",5,908,5,321
"com.vegas.casino.slots.game","Vegas Casino Slots - Big Win","The most popular slot machine game in 2019! Spin in real Vegas Casino and Win Big with more than 30 slot machines. Lots of bonus and jackpots, just enjoy Vegas Casino Slots!

Now you can play real Vegas casino slots on your phone instead of going to Vegas. Whenever and wherever FREE! What you need to do is just a single tap to download and spin! Then you can enjoy the excitement and win the jackpot. This slot game must be the best casino slots you have ever played. Huge jackpots, wild patterns, mysterious themes, and amazing graphics… This pop slot game is on FIRE! 

When you first login to Vegas Casino Slots, you could get 2,000,000 welcome bonuses. It helps you to play in your favorite slot machines and win big. Slot machines such as QUAKE FLASH ZEUS, CORNUCOPIA GOLD, PANDORA’S BOX, ALL SAINTS’ GIFTS, HAPPY HAPPY, GOLD MINER, GOLD OF WEALTH, BUFFALO BATTLE, RHINO RUSH, TROVE OF PEARL, PANDA, PAPER CUTTING, PRINCESS OF JAGUAR, BEER CARNIVAL, NIGHT OF THE WOLF, DESERT TREASURE, WILD GREEN, SEASCAPE DIVING, CHILI CHILI, FLAME TO HEAVEN, MYSTERY OF MAYA are waiting for you! Play this slot game and enjoy a real Las Vegas style casino slot! 

Game Features
2,000,000 Free coins as welcome bonus for you.
Grand jackpot in every slot machine waiting for you to win!
Free coins in every 1 hour and each time level up in Vegas Casino Slots!
High payout with lots of feature games such as FREE SPIN, HOLD & RESPIN, RESPIN, BONUS GAMES.
All slot machines unlocked. Just choose your favorite slots.
Connect to Facebook to collect 500,000 free coins.
Spin the wheel of fortune every day to get bonus.
Special challenge for you every week. Enjoy it and get a big prize!

This product is intended for use by those 21 or older for amusement purposes only. Practice or success at social casino gaming does not imply future success at real money gambling. The games do not offer ""real money gambling"" or an opportunity to win real money or prizes.

CONTACT US
Facebook:
https://www.facebook.com/vegascasinofreeslots
Contact Support: contact@triwingames.com
Find out more at: http://www.triwingames.com/","[""Games"",""Casino"",""Casual""]","17+","2018-09-28T00:44:44Z","2020-03-06T03:01:22Z","-Improve our event experience
-Minor bug fixed","1.0.39",0,"Triwin Inc.",5,233,5,12
"uk.pokerstarscasino.www","PokerStars Casino Games Online","Play exclusive Slots, popular Blackjack games and enjoy the best Roulette action (including double ball and live dealer tables) at the fastest-growing online casino.

TOP 2 REASONS TO DOWNLOAD POKERSTARS CASINO

1. WE HAVE IT ALL! Play a great variety of new and innovative games: From Multi-Player Blackjack and Roulette to Live Casino and our exclusive Slot game, Millionaires’ Island, you’ll find all your favourite games.

2. REAL MONEY! Enjoy real money and free-to-play mobile casino games, available across a wide range of limits and formats. 

PokerStars Casino is brought to you by the world’s largest online gaming company – trusted by over 100m players worldwide.

POKERSTARS CASINO GAMES:

A HUGE SELECTION OF SLOTS
- Classic and themed Slot games
- Special features that give you more chances to win cash prizes

PLENTY OF DIFFERENT BLACKJACK FORMATS
- Variety of Blackjack games – popular formats include Classic, Atlantic City, European and more!
- Play online Blackjack in Single Player or Multiplayer mode.

THE THRILL OF ROULETTE
- European roulette available, including standard and Double Ball tables.
- Play Live Roulette games, including the award-winning Immersive Roulette.

Download PokerStars Casino today and make sure you accept push notifications, to ensure you don’t miss out on any of our great promotions.

Please gamble responsibly and only bet what you can afford. For gambling addiction help and support, please contact Gamble Aware at https://www.begambleaware.org or 0808 8020 133.","[""Games"",""Entertainment"",""Card"",""Casino""]","17+","2016-09-22T22:43:59Z","2020-02-13T16:39:10Z","Bug fixes and performance improvements.","3.24.3",0,"Stars Mobile Limited",4.5,1582,4,47
"com.madovergames.BuffaloSlots","Buffalo Slots Vegas","The Hottest Casino Game 

Buffalo Slot Machine - the hottest free Vegas Casino Slots game ! Your $99,000,000 welcome bonus is waiting – Claim your bonus, spin your favorite casino slots , and get ready to experience the excitement of Las Vegas from the comfort of your own home or take it anywhere on your device! Play authentic casino slots as you have never seen them before!

Take a journey down into Vegas with some of the best casino games free slot machines bonus! The sounds and lights from our free casino game will remind you of the thrills and slot machine mania from being in Vegas

►  Explore the classic and the most loved Buffalo slots !
►  Travel through the lush green Mayan jungles for an Adventure hunt !
►  Meet your secret Santa in your Christmas Slots !
►  Relive the royal history like an Ancient King !
►  Try your luck in the vast expanse of the Underwater world !
►  You could bet and win in the famous Vegas experience !

Take your earnings and set out on a quest to become the richest slot machine player the world has known by connecting your game progress with Facebook. Compare and play with your friends and see who comes out on top !

Slots - Buffalo slots Vegas features:

►  Experience the most happening slot machines of Vegas right here on your device :  Buffalo slots, White Tiger, Adventure Hunt, Underwater, Majestic Kings, Las Vegas Casino and more slot machines added every two weeks !!!
►  Top new free slot casino games!.
►  Place your bets, spin and win awesome rewards.
►  Daily login rewards and bonuses.
►  Daily goals which you can complete and claim rewards for
►  Play your favorite Deal or No Deal Game.
►  Double up your slots wins every time by playing extra roulette 
      and card games.
►  Spin the lucky wheel and win awesome rewards.
►  Play with your friends and see who is up the leader-board.
►  Play more to stand a chance to win the JACKPOT !!

Never a dull moment when there are awesome Mini-Games to keep you always engaged :
Hammer smash : Smash the moles and win coins.
 *Memory game : Tap and match cards to win coins.
 *Locker challenge : Open the locker to win coins.
 *Box tap : Open boxes to win your luck reward.
 *Find the queen : Find you lucky queen trapped between two kings



This free slot game is intended for an adult audience and does not offer real money gambling or an opportunity to win real money or prizes. Practice or success at social gaming does not imply future success at real money slot gambling.


-------------------------------------------------------

Buffalo Slots:
http://Buffaloslots.madovergames.com
MadOverGames - http://madovergames.com
Facebook - https://www.facebook.com/madovergames
Twitter - https://twitter.com/madovergames
Youtube - https://www.youtube.com/user/MadovergamesWoW
Google+ - https://google.com/+MadovergamesWoW","[""Games"",""Card"",""Casino"",""Entertainment""]","17+","2019-10-04T07:00:00Z","2020-02-13T19:58:17Z","Welcome back, We've made Buffalo slots even better for you! As usual, amazing new games, features & graphics in our newest release!
Install now and have fun !
v1.3
New hot Vegas Slot games FREE every month!
- Update & spin our latest slot machines: 777 Classic Slots,Candy Land, Fancy Cats.
- Check out our Top rated slot games.","1.3",0,"MadOverGames",4.5,128,4.5,16
"com.grosvenor.grosvenor","Grosvenor Casino Online Games","Bringing the thrill of the casino, to you. New players will be greeted with a 100% deposit match up to £20 when you sign up with Grosvenor Casinos* - you can do this quickly and easily through the app. Once you’re logged in, you’ll regularly be offered great promotions, competitive bonuses, boosted odds and more. 

At home or on the go, the Grosvenor Casinos app puts you at the heart of every game, hand, race, bout and beyond. The ultimate experience in mobile gaming, our Grosvenor Casinos app combines the buzz of the casino floor with the excitement of online slots and puts it in the palm of your hand. 


Slots and Games

The full selection of slots and games in our app have been specifically chosen to bring you the best mobile experience possible. With slots varying from classics like Lucky Ladies Charm, Rainbow Riches and Cleopatra, to more modern games like Extra Chilli as well as exciting Daily Jackpots – we offer something for everyone. We’ve also got a great collection of Grosvenor Original titles on offer, like Egyptian Fortunes and Extra Fruity that you can play here first! 


Live Casino

Our world-class dealers bring you a huge range of table games, including Roulette, Blackjack, Live Poker and Baccarat. As well as exclusive games, like Victoria Baccarat, that are streamed live from the heart of our very own London Victoria casino. All Live games are streamed straight to your device in stunning HD, ensuring you feel the thrills of every game in real-time, in the most realistic Live Casino experience around. Better still, all of our standard roulette tables offer half your stake back on Even Chance bets if the ball lands on 0!


Sports Betting

Betting with Grosvenor Sport has never been easier, in this intuitive and easy to navigate app, you’ll get great odds at home, in casino or on the move! Bet on sports including Football, Tennis, Horse Racing, Cricket, Rugby, Boxing, UFC, NFL and lots more. Featuring Grosvenor Goals – our weekly free-to-play scorer prediction game, where you can win £1 Million. Find industry-leading live betting, a Cash Out feature, enhanced odds and accas and regular offers. 


Poker 

Grosvenor Poker offers Tournaments, Cash Games and Jackpot Sit and Go’s on all your favourite devices, with No Limit Holdem, Omaha, Fast Fold poker, Anonymous tables and more. Grosvenor Poker is the only place to qualify for the biggest poker events in the UK, such as Goliath and Grosvenor Casinos’ own GUKPT – the longest running poker series in the UK.


Getting started

If you’re new to Grosvenor Casinos, you can sign up quickly and easily through the app. Or, if you already play online, simply log in with your account details and start playing immediately.


Safety and security

Grosvenor Casinos has been a trusted and respected operator of casinos in the UK for over 40 years and remains so today. As the largest land-based casino operator in the UK, we understand that the safety and security of your personal information is of vital importance. That’s why we’ve made every effort to protect your data and ensure that you can play with peace of mind and enjoy the games in our app.

This is a real money gambling app. Please gamble responsibly and only bet what you can afford. For gambling addiction help and support, please contact Gamble Aware at https://www.begambleaware.org/ and 0808 8020 133

*Terms and Conditions apply","[""Games"",""Entertainment"",""Casino"",""Card""]","17+","2013-05-14T21:39:09Z","2019-09-12T09:27:22Z","In this version: 
- Bug fixes and service improvements","2.12",0,"Grosvenor Casinos Ltd",4.5,8557,4,1372
"com.bigfishgames.bfcasinouniversalfreemium","Big Fish Casino: Slots & Games","This game is intended for an adult audience (18+) and does not offer real money gambling or an opportunity to win real money or prizes.  Practice or success at social gaming does not imply future success at real money gambling.

--------------------- 
Download now! New players get 100,000 FREE BONUS CHIPS in the #1 FREE to play Casino app in the world! Over 65,000 5-star reviews!

Big Fish Casino gives you the chance to WIN BIG in Slots, Blackjack, Texas Hold'em Poker, Roulette, and more! Play live with your friends, with all the thrill of Las Vegas! Sit down, relax, have a drink & some chips – on us. We've got gorgeous games and millions of friendly people to play with for FREE!

Make a fortune with HUGE Jackpots, Free Daily Games, Slots Bonus Games, and more! Will you play it safe and hold your cards, or double down and get a lucky ace? Over 16 BILLION chips in Jackpots given out each day!

Have an adventure like no other in our original Slot Machines! Hit Flaming 7's for multiple jackpot levels in Jackpot City! Hunt for clues to uncover a huge win in Sherlock Mysteries! Fortune awaits those brave enough to enter the Enchanted Cavern…

TOP FEATURES: 
• Exciting slot machines with FREE SPINS and Bonus Games you won't find anywhere else!
• Everybody wins together in our unique Social Scatter™ Slots Games!
• Win up to 1 MILLION chips in our Reward Center games!
• Daily FREE game and bonuses could win you up to 65k FREE Chips just for logging in!
• Play LIVE with your friends! Beat the house in Blackjack or test your skills in Poker! 
• Customize and strut your stuff with free pets, gifts, and power ups! 

--------------------- 

Questions? Suggestions? Contact us at www.bigfishcasinosupport.com!","[""Games"",""Entertainment"",""Casino"",""Card""]","17+","2013-12-17T20:03:18Z","2020-02-13T17:34:22Z","Hi, Big Fish Fans!

Check out our amazing new slots, plus an all new season of Treasures full of myth and magic!

Have fun and happy spinning!","12.2.6",0,"Big Fish Games, Inc",4.5,14057,4.5,110
"com.gamesys.monopolycasino","MONOPOLY Casino","Welcome to the UK’s official MONOPOLY Casino – the home of the best Casino and Slot games. Download the free app now.

Get 30 Free Spins on MONOPOLY Paradise Mansion when you spend £10*

MONOPOLY Casino offers a wide range of themed Slots, including MONOPOLY Paradise Mansion as well as classic games Secrets of the Phoenix and Double Bubble. 

Any real money spin on one of our Slots could see you win one of four Community Chest Jackpots. You can also win a share of a Community payout if you are playing in the three minutes before another person wins a Community Chest Jackpot.

A selection of Casino games are also available on the app, including your favourite classic casino game roulette.

There’s also MONOPOLY Daily Free Parking, the Daily Free Game that gives you the chance to win up to 50 Free Spins and £750 in real cash. You just need your first deposit to be £10 or more.

New MONOPOLY content and promotions are added to the app all the time, so keep an eye out for all of our latest releases.  

18+ Please play responsibly. BeGambleAware.org.
This is a real money gambling app. Only bet what you can afford and always set yourself sensible limits. 

*Welcome Offer
1.	30 Free Spins (1p coin size, maximum lines) for the game MONOPOLY Paradise Mansion for new members only who: a) register; b) opt in to this promotion on first deposit of at least £10 (no retrospective opt in); and c) wager at least £10 in cash (“Qualifying Requirements”).
2.	30 days from when you make your first deposit and opt in to complete the Qualifying Requirements and play any Free Spins before they expire. Allow up to 72 hours for credit of Free Spins.
3.	One promotion entry per member – no multiple accounts.
4.	Your deposit balance (if any) and any winnings related to either your deposit balance or the Free Spins are withdrawable at any time during this promotion.
5.	Full Welcome Offer Rules: https://play.monopolycasino.com/terms#welcomebonus


The MONOPOLY name and logos are trademarks of Hasbro. The distinctive design of the gameboard, the four corner squares, the MR. MONOPOLY name and character, as well as each of the distinctive elements of the board and playing pieces, are trademarks of Hasbro, Inc. for its property trading game and game equipment. ©1935, 2015 Hasbro, Pawtucket, RI 02862. All Rights Reserved","[""Games"",""Simulation"",""Casino""]","17+","2016-10-20T15:46:20Z","2020-03-11T11:41:54Z","We've made a couple of bug fixes to give you an even better app experience. Enjoy!","11.13.0",0,"Gamesys",4.5,2246,4.5,55
